"loan_amnt","funded_amnt","term","int_rate","installment","emp_length","home_ownership","annual_inc","purpose","dti","delinq_2yrs","earliest_cr_line","open_acc","revol_bal","total_acc","pct_of_inc","result"
20125,20125," 36 months",8.9,639.04,"10+ years","MORTGAGE",51000,"debt_consolidation",18.89,1,1989-07-14,13,38013,36,0.394607843137255,1
10000,10000," 36 months",15.81,350.64,"5 years","RENT",60000,"debt_consolidation",9.08,0,2003-01-13,7,12682,22,0.166666666666667,1
12000,12000," 36 months",14.09,410.66,"9 years","MORTGAGE",55000,"debt_consolidation",22.47,0,1998-07-05,12,13741,34,0.218181818181818,1
4700,4700," 36 months",18.49,171.08,"4 years","RENT",42000,"debt_consolidation",23.97,0,1997-09-02,10,6572,52,0.111904761904762,1
19075,19075," 36 months",7.62,594.41,"5 years","MORTGAGE",75000,"debt_consolidation",28.83,0,1997-11-03,11,10847,30,0.254333333333333,0
7000,7000," 36 months",15.31,243.73,"10+ years","RENT",28000,"credit_card",24.53,1,2001-10-31,14,6859,35,0.25,1
14000,14000," 36 months",18.25,507.9,"10+ years","MORTGAGE",54000,"debt_consolidation",19.89,0,2000-07-23,13,14148,22,0.259259259259259,1
7200,7200," 36 months",13.99,246.05,"10+ years","MORTGAGE",92000,"home_improvement",17.71,0,2000-09-28,8,13724,29,0.0782608695652174,1
20000,20000," 60 months",22.95,563.24,"2 years","RENT",87000,"debt_consolidation",29.83,2,2004-07-02,16,12082,41,0.229885057471264,1
7700,7700," 60 months",17.99,195.49,"6 years","RENT",40000,"debt_consolidation",16.68,0,1990-08-19,12,9228,28,0.1925,1
27000,27000," 60 months",21.6,739.59,"6 years","RENT",69586,"debt_consolidation",11.12,0,2002-08-02,14,22429,18,0.388009082286667,1
11500,11500," 36 months",12.12,382.63,"2 years","RENT",33000,"debt_consolidation",5.27,0,2001-04-25,3,9081,12,0.348484848484849,0
20000,20000," 60 months",15.8,484.24,"10+ years","OWN",70000,"debt_consolidation",14.33,1,1984-06-01,11,18672,29,0.285714285714286,0
18250,18250," 36 months",11.14,598.7,"2 years","MORTGAGE",97000,"debt_consolidation",12.8,0,2000-10-08,7,11117,22,0.188144329896907,1
3700,3700," 36 months",6.62,113.61,"5 years","RENT",38000,"credit_card",26.34,0,1993-11-07,13,10805,32,0.0973684210526316,1
12000,12000," 60 months",17.1,298.88,"6 years","RENT",94000,"debt_consolidation",20.07,0,2002-11-11,10,15447,21,0.127659574468085,1
32200,32200," 60 months",23.33,913.85,"1 year","RENT",75000,"debt_consolidation",22.98,0,1999-10-24,17,16660,35,0.429333333333333,1
15000,15000," 36 months",18.49,545.99,"7 years","MORTGAGE",45000,"debt_consolidation",19.71,0,1998-10-29,14,7272,21,0.333333333333333,1
15000,15000," 60 months",14.33,351.6,"< 1 year","MORTGAGE",59600,"home_improvement",21.52,0,2002-10-09,7,4067,14,0.251677852348993,1
19750,19750," 60 months",22.45,550.54,"9 years","MORTGAGE",74000,"debt_consolidation",11.64,0,2002-01-28,8,12061,19,0.266891891891892,1
6400,6400," 36 months",10.64,208.44,"1 year","RENT",26797,"other",1.58,0,1987-02-10,6,3963,20,0.238832705153562,1
20000,20000," 60 months",18.55,513.88,"10+ years","MORTGAGE",85000,"debt_consolidation",17.04,0,2002-09-01,9,6020,16,0.235294117647059,0
18500,18500," 36 months",17.27,662.07,"8 years","RENT",67000,"debt_consolidation",22.66,0,1993-06-01,10,6995,25,0.276119402985075,1
10000,10000," 36 months",11.14,328.06,"< 1 year","RENT",39000,"credit_card",22.65,0,2000-10-19,8,14705,13,0.256410256410256,1
22800,22800," 60 months",20.49,610.3,"10+ years","OWN",57000,"debt_consolidation",14.05,0,1993-08-10,7,18521,28,0.4,1
19600,19600," 36 months",7.9,613.29,"10+ years","OWN",50000,"debt_consolidation",4.34,0,1991-04-04,8,2007,35,0.392,0
20000,20000," 36 months",9.25,638.33,"10+ years","MORTGAGE",151000,"credit_card",13.13,0,1998-06-02,14,17877,25,0.132450331125828,1
16425,16425," 36 months",19.05,602.5,"5 years","RENT",38000,"debt_consolidation",9.76,0,2006-11-13,6,7410,12,0.432236842105263,1
9200,9200," 36 months",12.12,306.1,"4 years","MORTGAGE",60000,"debt_consolidation",9.76,0,2000-07-09,7,9798,23,0.153333333333333,1
30000,30000," 36 months",15.31,1044.52,"3 years","RENT",75000,"debt_consolidation",14.12,0,1999-12-25,6,30768,13,0.4,1
11000,11000," 36 months",12.35,367.2,"10+ years","MORTGAGE",119000,"debt_consolidation",15.85,1,1997-04-20,10,83352,27,0.092436974789916,1
9250,9250," 36 months",16.29,326.53,"1 year","OWN",30000,"debt_consolidation",25.97,0,2007-08-04,8,8731,10,0.308333333333333,0
8325,8325," 36 months",14.65,287.17,"5 years","RENT",20000,"credit_card",14.94,0,1999-09-13,4,9022,8,0.41625,0
10800,10800," 36 months",7.62,336.55,"5 years","MORTGAGE",198000,"home_improvement",2.62,0,2000-06-30,5,2786,25,0.0545454545454545,1
6600,6600," 36 months",15.31,229.8,"< 1 year","RENT",48000,"debt_consolidation",15.33,0,2001-03-13,6,15032,6,0.1375,1
5700,5700," 36 months",12.12,189.65,"10+ years","RENT",80000,"credit_card",3.51,0,2005-05-30,10,7129,10,0.07125,1
8800,8800," 36 months",15.31,306.4,"5 years","RENT",46000,"debt_consolidation",22.23,0,1998-06-05,13,15145,24,0.191304347826087,1
10000,10000," 36 months",14.09,342.22,"10+ years","RENT",40000,"debt_consolidation",23.64,0,1990-05-24,12,18537,23,0.25,1
5375,5375," 36 months",12.12,178.84,"6 years","RENT",19200,"debt_consolidation",14.25,0,1998-12-23,11,6623,36,0.279947916666667,1
18225,18225," 36 months",6.03,554.69,"7 years","MORTGAGE",60000,"debt_consolidation",23.76,0,1998-12-05,16,10382,47,0.30375,1
1150,1150," 36 months",14.09,39.36,"10+ years","MORTGAGE",62000,"debt_consolidation",15.11,0,2001-04-19,10,11459,18,0.0185483870967742,1
10025,10025," 60 months",17.77,253.32,"2 years","OWN",55000,"debt_consolidation",7.61,4,1993-03-25,5,4576,16,0.182272727272727,1
15000,15000," 36 months",14.3,514.86,"6 years","MORTGAGE",59000,"debt_consolidation",1.47,0,2002-08-13,4,1854,12,0.254237288135593,1
18600,18600," 60 months",16.29,455.19,"10+ years","MORTGAGE",90000,"debt_consolidation",11.25,0,1999-02-21,7,13851,34,0.206666666666667,1
4800,4800," 36 months",14.09,164.27,"10+ years","MORTGAGE",99000,"other",23.56,0,1995-04-05,11,41247,31,0.0484848484848485,1
12000,12000," 60 months",12.99,272.98,"9 years","MORTGAGE",35000,"credit_card",20.37,0,1993-04-20,15,17929,32,0.342857142857143,1
2000,2000," 36 months",17.77,72.08,"< 1 year","RENT",29120,"other",16.4,0,1989-05-12,6,19543,13,0.0686813186813187,1
12250,12250," 36 months",16.29,432.43,"n/a","OWN",35000,"home_improvement",7.36,0,1981-10-11,11,5740,40,0.35,0
20000,20000," 60 months",15.31,479.06,"10+ years","MORTGAGE",53000,"debt_consolidation",15.1,2,1998-08-27,9,10870,29,0.377358490566038,1
12000,12000," 36 months",17.77,432.45,"9 years","MORTGAGE",87000,"debt_consolidation",2.76,1,2000-02-15,7,6554,29,0.137931034482759,1
6000,6000," 36 months",12.12,199.63,"10+ years","MORTGAGE",58100,"credit_card",27.37,0,1995-11-01,12,17479,29,0.103270223752151,1
10000,10000," 36 months",14.3,343.24,"n/a","MORTGAGE",30000,"debt_consolidation",29.04,0,1995-08-15,6,9156,14,0.333333333333333,1
15000,15000," 36 months",13.99,512.6,"2 years","MORTGAGE",57000,"debt_consolidation",18.95,0,2005-12-11,15,13797,26,0.263157894736842,0
4000,4000," 36 months",6.62,122.82,"1 year","RENT",97500,"major_purchase",8.05,0,1998-03-18,6,3148,17,0.041025641025641,1
20050,20050," 60 months",22.47,559.14,"10+ years","OWN",45000,"debt_consolidation",15.55,0,1996-11-09,10,6952,21,0.445555555555556,1
18000,18000," 36 months",12.12,598.89,"2 years","MORTGAGE",85000,"debt_consolidation",13.95,0,2002-11-29,17,23070,31,0.211764705882353,1
6400,6400," 36 months",10.16,207,"2 years","RENT",72500,"credit_card",2.58,0,2007-10-23,3,7506,6,0.0882758620689655,1
15000,15000," 36 months",11.14,492.08,"4 years","MORTGAGE",86000,"debt_consolidation",10.51,1,2007-01-20,8,4540,14,0.174418604651163,1
7200,7200," 36 months",15.8,252.43,"6 years","MORTGAGE",35000,"debt_consolidation",18.82,0,2005-10-22,11,11456,21,0.205714285714286,1
14000,14000," 36 months",17.27,501.03,"10+ years","MORTGAGE",103000,"debt_consolidation",16.04,0,1992-04-01,12,40228,27,0.135922330097087,1
6000,6000," 36 months",7.62,186.97,"10+ years","RENT",55000,"credit_card",15.99,0,1991-02-02,8,4661,17,0.109090909090909,0
12000,12000," 60 months",23.28,340.22,"5 years","OWN",65000,"debt_consolidation",12.66,0,2002-06-01,10,8828,28,0.184615384615385,0
20000,20000," 36 months",15.31,696.35,"10+ years","RENT",82065,"debt_consolidation",17.52,0,1995-12-18,6,31003,14,0.243709254858953,1
11000,11000," 36 months",13.11,371.22,"10+ years","RENT",38000,"debt_consolidation",7.89,0,2001-01-11,3,9552,5,0.289473684210526,1
7000,7000," 36 months",11.14,229.64,"10+ years","MORTGAGE",40000,"debt_consolidation",27.89,2,1991-07-01,15,9823,33,0.175,1
10000,10000," 36 months",16.29,353.01,"3 years","OWN",75000,"wedding",19.01,0,2001-05-05,9,7798,17,0.133333333333333,0
20000,20000," 60 months",17.99,507.76,"7 years","MORTGAGE",55680,"debt_consolidation",11.55,0,2002-12-23,7,13275,19,0.359195402298851,1
24000,24000," 60 months",15.22,573.74,"2 years","MORTGAGE",125000,"debt_consolidation",10.54,1,1997-11-19,13,25430,34,0.192,1
8925,8925," 36 months",7.9,279.27,"n/a","RENT",18600,"debt_consolidation",19.69,0,2001-01-06,12,9227,28,0.479838709677419,1
11200,11200," 36 months",9.91,360.92,"10+ years","OWN",55000,"credit_card",8.51,0,2002-11-18,14,10440,25,0.203636363636364,1
12500,12500," 36 months",9.76,401.94,"n/a","OWN",50000,"home_improvement",7.15,0,1992-11-30,8,8488,18,0.25,1
16550,16550," 60 months",15.31,396.43,"10+ years","MORTGAGE",61503.52,"credit_card",17.58,0,1998-02-03,7,23733,20,0.269090289466359,1
16850,16850," 36 months",14.33,578.6,"10+ years","MORTGAGE",90000,"debt_consolidation",16.27,0,1992-02-15,13,15317,44,0.187222222222222,1
28000,28000," 36 months",6.62,859.71,"3 years","MORTGAGE",90000,"debt_consolidation",15.76,0,1987-07-28,8,22480,20,0.311111111111111,1
25050,25050," 36 months",12.12,833.46,"3 years","OWN",70000,"credit_card",24.75,1,1988-11-21,16,24661,46,0.357857142857143,1
6000,6000," 36 months",14.09,205.33,"3 years","MORTGAGE",27900,"debt_consolidation",32.04,0,2005-06-14,12,15533,17,0.21505376344086,1
1500,1500," 36 months",13.11,50.63,"10+ years","MORTGAGE",55000,"home_improvement",12.89,0,2001-12-27,12,4639,50,0.0272727272727273,1
13150,13150," 36 months",18.75,480.37,"10+ years","RENT",42500,"other",30.24,0,1994-08-16,10,7237,32,0.309411764705882,1
33600,33600," 60 months",23.83,963.3,"10+ years","RENT",92000,"debt_consolidation",19.11,5,1998-04-29,18,12337,52,0.365217391304348,0
16000,16000," 60 months",12.12,356.89,"4 years","MORTGAGE",45000,"debt_consolidation",12.83,0,2001-03-25,8,9911,11,0.355555555555556,1
18000,18000," 36 months",7.9,563.23,"< 1 year","RENT",42000,"debt_consolidation",13.71,0,2004-01-18,8,14199,14,0.428571428571429,1
5000,5000," 36 months",10.74,163.08,"10+ years","RENT",36000,"moving",6.73,0,2000-10-19,16,3115,39,0.138888888888889,1
16000,16000," 60 months",13.99,372.21,"10+ years","RENT",68000,"debt_consolidation",11.6,0,1990-05-01,8,27604,34,0.235294117647059,1
19425,19425," 60 months",21,525.52,"4 years","RENT",43680,"debt_consolidation",18.05,0,2000-12-17,7,12418,30,0.444711538461538,1
16000,16000," 60 months",15.61,385.79,"6 years","MORTGAGE",70000,"major_purchase",18.76,0,1994-03-08,27,13905,34,0.228571428571429,1
35000,35000," 60 months",21.28,952.39,"< 1 year","MORTGAGE",80000.04,"house",14.47,0,2004-01-12,14,19946,20,0.437499781250109,1
30175,30175," 60 months",16.29,738.46,"7 years","MORTGAGE",129965.04,"credit_card",24.37,0,1997-08-05,15,27513,32,0.232177822589829,1
20000,20000," 36 months",8.9,635.07,"5 years","MORTGAGE",70000,"debt_consolidation",11.07,0,2003-08-07,5,16489,23,0.285714285714286,1
15000,15000," 60 months",13.11,342.15,"10+ years","MORTGAGE",1e+05,"other",7.74,0,1989-11-26,6,10468,21,0.15,1
34350,34350," 36 months",10.16,1110.97,"2 years","MORTGAGE",241000,"credit_card",9.77,0,1994-10-25,10,14269,28,0.14253112033195,1
14400,14400," 36 months",15.31,501.37,"3 years","RENT",50000,"debt_consolidation",13.66,0,2004-03-26,11,22405,23,0.288,1
9000,9000," 36 months",10.16,291.09,"10+ years","MORTGAGE",120000,"debt_consolidation",9.22,0,2000-07-25,13,8509,41,0.075,1
9000,9000," 36 months",15.31,313.36,"8 years","MORTGAGE",67596,"credit_card",6.44,0,1996-12-13,5,6768,18,0.133143973016155,1
2000,2000," 36 months",17.27,71.58,"4 years","MORTGAGE",80000,"debt_consolidation",10.44,0,2003-02-02,7,3418,11,0.025,1
16000,16000," 36 months",16.29,564.81,"10+ years","MORTGAGE",50000,"debt_consolidation",20.75,1,1997-10-18,8,24149,49,0.32,1
16000,16000," 60 months",21.48,437.19,"10+ years","MORTGAGE",44000,"debt_consolidation",15.85,1,2002-04-29,7,12467,20,0.363636363636364,1
14675,14675," 36 months",21,552.89,"7 years","RENT",37000,"vacation",27.6,0,2004-12-09,6,7092,16,0.396621621621622,0
6000,6000," 36 months",12.12,199.63,"4 years","MORTGAGE",55000,"debt_consolidation",27.21,0,2003-03-07,19,8969,31,0.109090909090909,1
22500,22500," 60 months",17.27,562.46,"1 year","MORTGAGE",69200,"debt_consolidation",19.37,0,2004-11-01,13,47186,33,0.32514450867052,1
8400,8400," 36 months",13.11,283.48,"5 years","RENT",58000,"debt_consolidation",26.15,0,2004-02-29,8,20696,16,0.144827586206897,0
35000,35000," 36 months",23.63,1366.36,"3 years","RENT",102000,"debt_consolidation",24.4,0,1998-08-08,23,47101,36,0.343137254901961,0
23675,23675," 36 months",8.9,751.76,"8 years","RENT",70000,"major_purchase",1.08,0,1997-11-06,4,795,17,0.338214285714286,1
24125,24125," 60 months",21,652.67,"3 years","MORTGAGE",62000,"home_improvement",10.22,0,2004-11-30,9,20231,10,0.389112903225806,0
16000,16000," 36 months",6.03,486.97,"1 year","MORTGAGE",250000,"home_improvement",24.44,0,1989-12-06,12,50739,46,0.064,1
7000,7000," 36 months",12.12,232.91,"10+ years","MORTGAGE",150000,"other",18.88,0,1999-10-27,17,28962,28,0.0466666666666667,1
1450,1450," 36 months",8.9,46.05,"2 years","RENT",24000,"major_purchase",15.55,0,2003-01-14,11,782,18,0.0604166666666667,1
10000,10000," 36 months",14.09,342.22,"1 year","RENT",60000,"debt_consolidation",17.9,0,1999-01-09,7,9215,29,0.166666666666667,1
12000,12000," 36 months",6.62,368.45,"10+ years","MORTGAGE",53850,"major_purchase",9.05,0,1998-01-29,9,348,27,0.222841225626741,1
1500,1500," 36 months",7.62,46.75,"5 years","MORTGAGE",47700,"car",10.36,0,1995-01-26,7,11585,22,0.0314465408805031,1
5000,5000," 60 months",16.78,123.68,"< 1 year","OWN",30000,"other",0.84,0,1998-08-25,3,2025,11,0.166666666666667,1
28000,28000," 36 months",7.9,876.13,"10+ years","OWN",98000,"credit_card",5.06,0,1998-01-11,9,25884,30,0.285714285714286,1
8000,8000," 36 months",6.03,243.49,"7 years","MORTGAGE",60000,"credit_card",17.13,0,1997-05-03,18,20097,28,0.133333333333333,1
28000,28000," 60 months",17.77,707.52,"3 years","MORTGAGE",63500,"debt_consolidation",17.68,0,2002-11-07,10,30199,30,0.440944881889764,0
9000,9000," 36 months",15.27,313.18,"7 years","RENT",40000,"small_business",4.9,0,2006-05-06,7,6383,10,0.225,0
20000,20000," 36 months",13.11,674.94,"10+ years","MORTGAGE",75000,"home_improvement",14.72,0,1996-05-27,15,12803,29,0.266666666666667,1
15875,15875," 36 months",18.75,579.91,"7 years","MORTGAGE",65000,"credit_card",10.34,0,1988-08-03,8,15021,29,0.244230769230769,0
26500,26500," 60 months",18.25,676.54,"3 years","RENT",53000,"debt_consolidation",3.67,0,2003-07-06,3,7628,7,0.5,1
9000,9000," 36 months",6.62,276.34,"1 year","RENT",50000,"debt_consolidation",13.85,0,1995-03-14,5,7853,19,0.18,1
20000,20000," 60 months",16.29,489.45,"10+ years","MORTGAGE",125000,"debt_consolidation",23.3,0,2003-05-03,12,6438,25,0.16,1
16000,16000," 60 months",21.15,434.21,"2 years","MORTGAGE",70000,"debt_consolidation",16.39,0,1985-11-08,14,13205,34,0.228571428571429,1
16000,16000," 36 months",6.03,486.97,"5 years","MORTGAGE",350000,"moving",0.7,0,2001-02-03,11,2051,18,0.0457142857142857,1
18000,18000," 60 months",24.5,523.07,"6 years","RENT",1e+05,"debt_consolidation",7.66,0,2007-01-17,11,15419,12,0.18,1
9000,9000," 60 months",14.09,209.84,"5 years","RENT",42000,"debt_consolidation",32.97,0,2005-07-23,10,4522,15,0.214285714285714,1
15000,15000," 36 months",7.62,467.43,"5 years","MORTGAGE",56320,"home_improvement",19.24,0,2008-08-27,12,189,15,0.266335227272727,1
4200,4200," 36 months",6.62,128.96,"2 years","RENT",85000,"other",11.42,0,1993-01-28,11,19623,37,0.0494117647058823,0
27700,27700," 36 months",7.62,863.17,"10+ years","OWN",1e+05,"other",8.38,0,1979-07-15,14,19780,20,0.277,1
17800,17800," 36 months",17.77,641.47,"10+ years","MORTGAGE",50000,"debt_consolidation",22.78,0,1994-08-10,13,13826,17,0.356,1
10000,10000," 60 months",12.42,224.58,"4 years","RENT",54000,"major_purchase",23.16,0,1998-02-24,5,0,8,0.185185185185185,1
17050,17050," 36 months",17.77,614.44,"2 years","OWN",38000,"debt_consolidation",24.92,0,1994-01-21,7,28565,26,0.448684210526316,1
24925,24925," 60 months",13.11,568.53,"9 years","MORTGAGE",56000,"debt_consolidation",15.92,1,1999-03-19,7,15807,34,0.445089285714286,1
4500,4500," 36 months",10.74,146.78,"10+ years","RENT",25000,"other",21.7,0,1996-03-25,10,1279,24,0.18,1
7200,7200," 36 months",9.76,231.52,"2 years","RENT",36243,"debt_consolidation",5.07,0,1996-02-02,8,11661,23,0.19865905140303,1
12000,12000," 36 months",12.12,399.26,"8 years","MORTGAGE",60000,"credit_card",19.5,0,2004-04-17,12,17137,30,0.2,1
17475,17475," 60 months",17.77,441.57,"2 years","RENT",83100,"debt_consolidation",14.28,0,2000-12-05,13,3901,44,0.21028880866426,1
35000,35000," 36 months",16.78,1244.02,"5 years","RENT",80000,"house",0.26,0,1982-03-08,3,683,14,0.4375,1
12000,12000," 36 months",11.14,393.67,"8 years","RENT",44381.87,"credit_card",15.82,0,2002-07-06,6,8138,21,0.270380675712853,1
4500,4500," 36 months",6.62,138.17,"6 years","RENT",94000,"debt_consolidation",8.02,0,2000-10-26,7,5037,22,0.0478723404255319,1
16800,16800," 60 months",17.77,424.52,"6 years","MORTGAGE",52000,"debt_consolidation",16.96,0,1997-02-04,14,11867,34,0.323076923076923,1
3250,3250," 36 months",12.12,108.14,"2 years","OWN",24960,"debt_consolidation",15.26,0,2009-01-22,6,2883,7,0.130208333333333,1
24000,24000," 60 months",15.22,573.74,"5 years","RENT",68000,"credit_card",10.48,0,1995-10-22,20,28000,25,0.352941176470588,1
5000,5000," 36 months",17.27,178.94,"10+ years","RENT",56160,"other",16.15,0,1994-02-28,3,19824,17,0.089031339031339,1
18000,18000," 60 months",21.48,491.84,"7 years","RENT",90000,"debt_consolidation",6.81,0,2001-10-15,12,20906,16,0.2,1
2000,2000," 36 months",15.81,70.13,"< 1 year","RENT",26000,"wedding",2.31,0,2008-08-10,3,228,3,0.0769230769230769,1
18000,18000," 60 months",15.88,436.58,"2 years","RENT",80000,"credit_card",13.55,0,2001-07-28,12,10421,25,0.225,0
12000,12000," 36 months",19.72,444.26,"10+ years","RENT",72000,"other",4.43,0,2001-05-05,5,8706,8,0.166666666666667,1
23850,23850," 36 months",7.62,743.2,"5 years","MORTGAGE",60000,"debt_consolidation",10.82,0,1997-11-30,15,20707,22,0.3975,1
14900,14900," 36 months",14.33,511.64,"1 year","MORTGAGE",84200,"credit_card",29.09,1,1993-07-02,18,22675,29,0.176959619952494,1
4000,4000," 36 months",14.33,137.36,"5 years","RENT",14000,"credit_card",13.11,0,2004-04-02,4,6273,11,0.285714285714286,1
5600,5600," 36 months",7.9,175.23,"5 years","RENT",23000,"debt_consolidation",16.54,0,1999-09-11,8,3373,10,0.243478260869565,0
4000,4000," 36 months",7.62,124.65,"7 years","OWN",60000,"home_improvement",9.05,0,1998-03-07,8,5434,23,0.0666666666666667,1
10000,10000," 36 months",10.16,323.43,"2 years","RENT",59321,"credit_card",19.36,0,2002-02-13,14,22898,21,0.168574366581818,1
16000,16000," 36 months",14.33,549.42,"n/a","RENT",57000,"major_purchase",19.26,0,1997-06-01,13,12229,21,0.280701754385965,0
23000,23000," 36 months",13.67,782.41,"10+ years","RENT",58000,"debt_consolidation",11.79,0,1991-09-14,11,22601,28,0.396551724137931,1
8000,8000," 36 months",11.71,264.61,"8 years","RENT",55000,"credit_card",20.66,0,2000-11-21,13,10129,43,0.145454545454545,1
6500,6500," 36 months",7.9,203.39,"4 years","MORTGAGE",1e+05,"credit_card",13.05,1,1998-06-29,11,9841,30,0.065,1
23850,23850," 60 months",24.83,697.66,"10+ years","RENT",53712,"debt_consolidation",25.21,0,2000-12-27,11,14172,25,0.444034852546917,1
10500,10500," 36 months",15.8,368.12,"1 year","RENT",30000,"debt_consolidation",21.84,0,1988-02-06,8,6059,13,0.35,1
34975,34975," 36 months",13.11,1180.3,"6 years","RENT",135000,"credit_card",13.63,0,1997-12-23,9,44832,30,0.259074074074074,1
18000,18000," 36 months",18.49,655.18,"1 year","OWN",53000,"debt_consolidation",15.96,0,2005-05-05,11,14703,11,0.339622641509434,1
12850,12850," 36 months",15.31,447.41,"6 years","RENT",41000,"debt_consolidation",16.46,0,1993-12-10,8,18278,15,0.313414634146341,0
18000,18000," 60 months",21.7,494.08,"8 years","MORTGAGE",40000,"debt_consolidation",29.01,0,2006-04-07,12,19989,23,0.45,1
7000,7000," 36 months",8.9,222.28,"3 years","RENT",51600,"car",21.13,0,1995-07-01,8,14418,13,0.135658914728682,1
6000,6000," 36 months",11.14,196.84,"10+ years","MORTGAGE",80000,"debt_consolidation",11.33,1,1995-09-07,7,13662,20,0.075,1
16000,16000," 60 months",22.95,450.59,"2 years","RENT",52000,"debt_consolidation",18.9,0,2002-05-28,8,12192,20,0.307692307692308,1
12000,12000," 36 months",13.67,408.22,"10+ years","MORTGAGE",46000,"debt_consolidation",21.68,0,2001-11-05,12,15022,17,0.260869565217391,1
8000,8000," 60 months",13.49,184.04,"2 years","RENT",70000,"small_business",12.65,1,2000-10-25,6,5940,22,0.114285714285714,1
2500,2500," 36 months",14.65,86.24,"n/a","MORTGAGE",50000,"other",19.39,1,1997-05-08,9,872,22,0.05,0
2775,2775," 36 months",7.9,86.84,"10+ years","MORTGAGE",130000,"other",9.98,0,1995-07-14,4,2644,16,0.0213461538461538,1
24375,24375," 60 months",13.11,555.98,"5 years","RENT",55000,"debt_consolidation",14.47,0,2003-05-26,11,14706,19,0.443181818181818,1
10000,10000," 36 months",6.03,304.36,"5 years","OWN",32001,"debt_consolidation",28.05,0,2000-12-02,12,1277,40,0.312490234680166,1
6000,6000," 36 months",15.8,210.36,"1 year","RENT",64000,"debt_consolidation",9.19,0,2003-12-21,9,11446,19,0.09375,1
12000,12000," 60 months",23.7,343.13,"10+ years","RENT",50000,"debt_consolidation",2.66,0,1998-08-27,7,8064,14,0.24,1
